code,brands,product_name,pnns_groups_2,energy-kj_100g,sugars_100g,saturated-fat_100g,salt_100g,proteins_100g,fiber_100g,fruit_vege_nut_100g,nutriscore_grade,fit_nutri_grade,opt_el_tri_50_grade,pes_el_tri_50_grade
4010355476678,"dmBio,dm Bio",Dinkel Frischei Waffeln,unknown,2085.0,35.0,3.0,0.78,8.8,1.8,0.0,d,d,c,e
5410041182903,"REM,LU, Mondelez",Déjeuner REM,Biscuits and cakes,1662.0,18.0,3.6,1.3,7.6,2.3,0.0,d,d,c,c
3596710459155,Auchan,Cream'loop enrobés de chocolat blanc,Biscuits and cakes,2228.0,48.0,17.0,0.5,5.0,2.0,0.0,e,e,e,e
7067104216914,Knusperone,"Date, hazelnut & cocoa bars",Chocolate products,1831.0,39.0,2.5,0.02,9.8,12.0,57.0,c,a,c,c
4311501495841,"Gut & Günstig,Edeka",Haselnuss Riegel,Biscuits and cakes,1529.0,1.2,1.2,0.3,8.1,5.3,10.4,a,a,c,c
3760121212870,Biocoop,Tartine craquante sarrasin riz maïs,unknown,1554.0,1.5,0.6,0.6,11.3,4.7,0.0,a,a,c,c
4018077712746,Lorenz,Naturals Meersalz & Pfeffer,One-dish meals,2189.0,2.1,2.4,2.0,5.9,3.4,0.0,d,c,d,d
4006182005105,Sommer,Dinkel Schoko-Split mit Zartbitterschokolade,Biscuits and cakes,1911.0,25.0,14.0,0.13,7.1,3.4,0.0,d,d,d,d
3564707083577,"Bio Village,Marque Repère",Biscuits pépites de chocolat quinoa,Biscuits and cakes,1803.0,20.0,8.7,0.8,7.8,2.7,0.0,d,d,c,d
8480000335203,Hacendado,Triángulos de maíz,Appetizers,2073.0,5.5,2.5,1.016,6.9,3.4,0.0,c,b,d,d
5060283760126,Proper Corn,Proper Corn - Sweet Coconut & Vanilla,unknown,2033.0,15.1,1.9,0.23,6.0,7.7,22.5694444444444,c,a,c,c
7622210484390,LU,Lulu La Barquette Fraise,Biscuits and cakes,1487.0,58.0,0.6,0.09,3.8,1.7,27.8,d,d,d,e
3560070302109,Carrefour,Macédoine de légumes,Vegetables,159.0,1.1,0.1,0.7,2.1,3.4,96.875,a,a,a,b
3222472819363,Casino,Noir dessert corsé 64% de cacao,Chocolate products,2187.0,36.0,22.0,0.02,9.1,10.0,0.0,d,e,c,c
5054781307884,Asda,Apple crumble,Biscuits and cakes,1010.0,21.0,4.2,0.01,2.4,1.6,35.0,c,d,d,d
7501011114579,Sabritas,Cheetos torciditos,Appetizers,2260.0,3.33,5.0,1.35,6.67,3.33,0.0,d,c,d,d
5902172001944,Kupiec,Wafle ryżowe wieloziarniste,Cereals,1615.0,1.2,0.7,0.98,8.1,3.5,0.0,b,a,c,c
5013803001278,Eat Natural,Prosport - barre cacahuètes 🥜et caramel salé,Biscuits and cakes,931.0,8.9,2.3,0.2,11.7,2.4,66.0,a,a,c,c
7616500175716,Frey,,Sweets,2260.0,46.0,18.0,0.09,6.0,3.0,0.0,e,e,d,d
