code,brands,product_name,pnns_groups_2,nutriscore_score,nutriscore_grade,energy-kj_100g,sugars_100g,saturated-fat_100g,salt_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,url,image_url
7622201098483,Milka,Bubbly Alpine Milk,Chocolate products,26.0,e,2230.0,57.0,18.0,0.36,6.3,1.9,0.0,http://world-fr.openfoodfacts.org/produit/7622201098483/bubbly-alpine-milk-milka,https://images.openfoodfacts.org/images/products/762/220/109/8483/front_fr.3.400.jpg
3083681034974,Bonduelle,Coleslaw Sauce Douce,One-dish meals,-2.0,a,559.0,5.0,0.9,0.9,1.0,2.0,86.5446555397727,http://world-fr.openfoodfacts.org/produit/3083681034974/coleslaw-sauce-douce-bonduelle,https://images.openfoodfacts.org/images/products/308/368/103/4974/front_fr.34.400.jpg
3560070778546,Carrefour,Amandes gout fumé,Nuts,2.0,b,2536.0,4.6,4.3,1.2,19.0,6.5,95.0,http://world-fr.openfoodfacts.org/produit/3560070778546/amandes-gout-fume-carrefour,https://images.openfoodfacts.org/images/products/356/007/077/8546/front_fr.26.400.jpg
8809059294253,Ho San,Roasted Seaweed Snack,unknown,-4.0,a,1254.0,0.0,0.0,0.23,50.0,1.0,62.5,http://world-fr.openfoodfacts.org/produit/8809059294253/roasted-seaweed-snack-ho-san,https://images.openfoodfacts.org/images/products/880/905/929/4253/front_fr.17.400.jpg
7613312015490,Migros,Chips Sour Cream & Onion,Appetizers,11.0,d,2209.0,2.5,2.5,1.4,4.0,3.5,0.0225360576923066,http://world-fr.openfoodfacts.org/produit/7613312015490/chips-sour-cream-onion-migros,https://images.openfoodfacts.org/images/products/761/331/201/5490/front_fr.12.400.jpg
8480000651433,Hacendado,Caramelos jengibre & própolis 0% azúcares,Sweets,-3.0,a,995.0,0.0,0.2,0.0,0.0,96.0,0.0,http://world-fr.openfoodfacts.org/produit/8480000651433/caramelos-jengibre-propolis-0-azucares-hacendado,https://images.openfoodfacts.org/images/products/848/000/065/1433/front_es.15.400.jpg
5310005002899,vitaminka,Atlantis Original,Sweets,27.0,e,2374.0,45.0,16.0,0.49,8.0,1.0,12.0,http://world-fr.openfoodfacts.org/produit/5310005002899/atlantis-original-vitaminka,https://images.openfoodfacts.org/images/products/531/000/500/2899/front_en.19.400.jpg
4260718292968,Koro,Snack-Erbsen ungarische Paprika,Vegetables,-2.0,a,1702.0,7.9,1.0,1.0,14.0,8.7,62.0,http://world-fr.openfoodfacts.org/produit/4260718292968/snack-erbsen-ungarische-paprika-koro,https://images.openfoodfacts.org/images/products/426/071/829/2968/front_fr.3.400.jpg
7640101691078,"Bischofberger,Zweifel",,Biscuits and cakes,8.0,c,1670.0,37.0,1.0,0.01,9.0,4.0,8.52272727272727,http://world-fr.openfoodfacts.org/produit/7640101691078/bischofberger,https://images.openfoodfacts.org/images/products/764/010/169/1078/front_fr.3.400.jpg
8003170042803,Conad,Cracker con riso soffiato,Appetizers,9.0,c,1779.0,2.2,0.9,1.5,10.0,2.5,0.0,http://world-fr.openfoodfacts.org/produit/8003170042803/cracker-con-riso-soffiato-conad,https://images.openfoodfacts.org/images/products/800/317/004/2803/front_fr.8.400.jpg
9310179169547,Golden Circle,Strawberry squeeze,Fruits,-3.0,a,265.0,13.7,0.1,0.0,0.5,1.8,99.9,http://world-fr.openfoodfacts.org/produit/9310179169547/strawberry-squeeze-golden-circle,https://images.openfoodfacts.org/images/products/931/017/916/9547/front_en.12.400.jpg
8423102210153,Anitin,Snack de Pan con pipas,Bread,15.0,d,2177.0,1.3,2.8,2.3,11.4,3.4,0.0,http://world-fr.openfoodfacts.org/produit/8423102210153/snack-de-pan-con-pipas-anitin,https://images.openfoodfacts.org/images/products/842/310/221/0153/front_en.39.400.jpg
3222473260546,"Casino Délices, Casino, Délices",Petits Plaisirs saveur Cappuccino au chocolat noir suisse,Biscuits and cakes,24.0,e,2189.0,49.0,18.0,0.28,7.3,3.3,3.125,http://world-fr.openfoodfacts.org/produit/3222473260546/petits-plaisirs-saveur-cappuccino-au-chocolat-noir-suisse-casino-delices,https://images.openfoodfacts.org/images/products/322/247/326/0546/front_fr.16.400.jpg
8710624347789,Gwoon,Suikervrije softgums,Sweets,2.0,b,917.0,0.3,0.0,0.12,0.4,0.0,0.0,http://world-fr.openfoodfacts.org/produit/8710624347789/suikervrije-softgums-gwoon,https://images.openfoodfacts.org/images/products/871/062/434/7789/front_nl.3.400.jpg
3775000099954,So'Nigiri,Wok - Légumes japonais et lait de coco,Appetizers,2.0,b,614.0,7.3,0.8,0.53,2.8,1.4,16.1666666666667,http://world-fr.openfoodfacts.org/produit/3775000099954/wok-legumes-japonais-et-lait-de-coco-so-nigiri,https://images.openfoodfacts.org/images/products/377/500/009/9954/front_fr.17.400.jpg
3083681010923,Bonduelle,Coleslaw à la moutarde à l'ancienne,One-dish meals,-3.0,a,518.0,5.5,0.8,0.6,1.0,2.5,81.2505722045898,http://world-fr.openfoodfacts.org/produit/3083681010923/coleslaw-a-la-moutarde-a-l-ancienne-bonduelle,https://images.openfoodfacts.org/images/products/308/368/101/0923/front_fr.19.400.jpg
4010355476678,"dmBio,dm Bio",Dinkel Frischei Waffeln,unknown,17.0,d,2085.0,35.0,3.0,0.78,8.8,1.8,0.0,http://world-fr.openfoodfacts.org/produit/4010355476678/dinkel-frischei-waffeln-dmbio,https://images.openfoodfacts.org/images/products/401/035/547/6678/front_de.82.400.jpg
5410041182903,"REM,LU, Mondelez",Déjeuner REM,Biscuits and cakes,13.0,d,1662.0,18.0,3.6,1.3,7.6,2.3,0.0,http://world-fr.openfoodfacts.org/produit/5410041182903/dejeuner-rem,https://images.openfoodfacts.org/images/products/541/004/118/2903/front_fr.43.400.jpg
3596710459155,Auchan,Cream'loop enrobés de chocolat blanc,Biscuits and cakes,26.0,e,2228.0,48.0,17.0,0.5,5.0,2.0,0.0,http://world-fr.openfoodfacts.org/produit/3596710459155/cream-loop-enrobes-de-chocolat-blanc-auchan,https://images.openfoodfacts.org/images/products/359/671/045/9155/front_fr.22.400.jpg
7067104216914,Knusperone,"Date, hazelnut & cocoa bars",Chocolate products,9.0,c,1831.0,39.0,2.5,0.02,9.8,12.0,57.0,http://world-fr.openfoodfacts.org/produit/7067104216914/date-hazelnut-cocoa-bars-knusperone,https://images.openfoodfacts.org/images/products/706/710/421/6914/front_de.3.400.jpg
4311501495841,"Gut & Günstig,Edeka",Haselnuss Riegel,Biscuits and cakes,-4.0,a,1529.0,1.2,1.2,0.3,8.1,5.3,10.4,http://world-fr.openfoodfacts.org/produit/4311501495841/haselnuss-riegel-gut-gunstig,https://images.openfoodfacts.org/images/products/431/150/149/5841/front_de.30.400.jpg
3760121212870,Biocoop,Tartine craquante sarrasin riz maïs,unknown,-3.0,a,1554.0,1.5,0.6,0.6,11.3,4.7,0.0,http://world-fr.openfoodfacts.org/produit/3760121212870/tartine-craquante-sarrasin-riz-mais-biocoop,https://images.openfoodfacts.org/images/products/376/012/121/2870/front_fr.54.400.jpg
4018077712746,Lorenz,Naturals Meersalz & Pfeffer,One-dish meals,13.0,d,2189.0,2.1,2.4,2.0,5.9,3.4,0.0,http://world-fr.openfoodfacts.org/produit/4018077712746/naturals-meersalz-pfeffer-lorenz,https://images.openfoodfacts.org/images/products/401/807/771/2746/front_de.19.400.jpg
4006182005105,Sommer,Dinkel Schoko-Split mit Zartbitterschokolade,Biscuits and cakes,17.0,d,1911.0,25.0,14.0,0.13,7.1,3.4,0.0,http://world-fr.openfoodfacts.org/produit/4006182005105/dinkel-schoko-split-mit-zartbitterschokolade-sommer,https://images.openfoodfacts.org/images/products/400/618/200/5105/front_de.36.400.jpg
3564707083577,"Bio Village,Marque Repère",Biscuits pépites de chocolat quinoa,Biscuits and cakes,18.0,d,1803.0,20.0,8.7,0.8,7.8,2.7,0.0,http://world-fr.openfoodfacts.org/produit/3564707083577/biscuits-pepites-de-chocolat-quinoa-bio-village,https://images.openfoodfacts.org/images/products/356/470/708/3577/front_fr.65.400.jpg
8480000335203,Hacendado,Triángulos de maíz,Appetizers,10.0,c,2073.0,5.5,2.5,1.016,6.9,3.4,0.0,http://world-fr.openfoodfacts.org/produit/8480000335203/triangulos-de-maiz-hacendado,https://images.openfoodfacts.org/images/products/848/000/033/5203/front_es.5.400.jpg
5060283760126,Proper Corn,Proper Corn - Sweet Coconut & Vanilla,unknown,6.0,c,2033.0,15.1,1.9,0.23,6.0,7.7,22.5694444444444,http://world-fr.openfoodfacts.org/produit/5060283760126/proper-corn-sweet-coconut-vanilla,https://images.openfoodfacts.org/images/products/506/028/376/0126/front_fr.3.400.jpg
7622210484390,LU,Lulu La Barquette Fraise,Biscuits and cakes,13.0,d,1487.0,58.0,0.6,0.09,3.8,1.7,27.8,http://world-fr.openfoodfacts.org/produit/7622210484390/lulu-la-barquette-fraise-lu,https://images.openfoodfacts.org/images/products/762/221/048/4390/front_fr.4.400.jpg
3560070302109,Carrefour,Macédoine de légumes,Vegetables,-3.0,a,159.0,1.1,0.1,0.7,2.1,3.4,96.875,http://world-fr.openfoodfacts.org/produit/3560070302109/macedoine-de-legumes-carrefour,https://images.openfoodfacts.org/images/products/356/007/030/2109/front_fr.41.400.jpg
3222472819363,Casino,Noir dessert corsé 64% de cacao,Chocolate products,18.0,d,2187.0,36.0,22.0,0.02,9.1,10.0,0.0,http://world-fr.openfoodfacts.org/produit/3222472819363/noir-dessert-corse-64-de-cacao-casino,https://images.openfoodfacts.org/images/products/322/247/281/9363/front_fr.25.400.jpg
5054781307884,Asda,Apple crumble,Biscuits and cakes,10.0,c,1010.0,21.0,4.2,0.01,2.4,1.6,35.0,http://world-fr.openfoodfacts.org/produit/5054781307884/apple-crumble-asda,https://images.openfoodfacts.org/images/products/505/478/130/7884/front_en.4.400.jpg
